ParticipantName,player_id,TeamName,MinutesPlayed,MatchesPlayed,Top_scorer,Top_scorer_subtitle,Assists,Assists_subtitle,Goals_+_Assists,Goals_+_Assists_subtitle,FotMob_rating,FotMob_rating_subtitle,Goals_per_90,Goals_per_90_subtitle,Expected_goals_(xG),Expected_goals_(xG)_subtitle,Expected_goals_(xG)_per_90,Expected_goals_(xG)_per_90_subtitle,Expected_goals_on_target_(xGOT),Expected_goals_on_target_(xGOT)_subtitle,Shots_on_target_per_90,Shots_on_target_per_90_subtitle,Shots_per_90,Shots_per_90_subtitle,Accurate_passes_per_90,Accurate_passes_per_90_subtitle,Big_chances_created,Big_chances_created_subtitle,Chances_created,Chances_created_subtitle,Accurate_long_balls_per_90,Accurate_long_balls_per_90_subtitle,Expected_assist_(xA),Expected_assist_(xA)_subtitle,Expected_assist_(xA)_per_90,Expected_assist_(xA)_per_90_subtitle,xG_+_xA_per_90,xG_+_xA_per_90_subtitle,Successful_dribbles_per_90,Successful_dribbles_per_90_subtitle,Big_chances_missed,Big_chances_missed_subtitle,Penalties_won,Penalties_won_subtitle,Successful_tackles_per_90,Successful_tackles_per_90_subtitle,Interceptions_per_90,Interceptions_per_90_subtitle,Clearances_per_90,Clearances_per_90_subtitle,Blocks_per_90,Blocks_per_90_subtitle,Penalties_conceded,Penalties_conceded_subtitle,Possession_won_final_3rd_per_90,Possession_won_final_3rd_per_90_subtitle,Clean_sheets,Clean_sheets_subtitle,Save_percentage,Save_percentage_subtitle,Saves_per_90,Saves_per_90_subtitle,Goals_prevented,Goals_prevented_subtitle,Goals_conceded_per_90,Goals_conceded_per_90_subtitle,Fouls_committed_per_90,Fouls_committed_per_90_subtitle,Yellow_cards,Yellow_cards_subtitle,Red_cards,Red_cards_subtitle
Neal Maupay,391064,Brentford,1424,31,6,0,3,2.3,9,9.5,6.61,0,0.38,6,7.2,6,0.46,0.38,8.8,6,1.3,47.6,2.7,14.3,18.5,73.6,5,3,16,1,1,64,2.3,3,0.14,0.2,0.6,0.57,0.6,31,7,14.3,0,0,0.4,70,0.1,2,0.3,4,0,0,0,0,1.1,1.7,0,0,0,0,0,0,0,0,0,0,1.3,8,8,0,0,0
Thomas Strakosha,403049,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Toney,408987,Brentford,1449,17,4,0,2,1.4,6,7.4,0,0,0,0,6,4,0,0,5,4,0,0,0,0,0,0,3,2,12,0.7,0,0,1.4,2,0,0,0,0,0,0,11,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Aymeric Laporte,411617,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Martial,413557,Manchester United,445,13,1,0,0,0,1,1.4,0,0,0,0,1.2,1,0,0,1.2,1,0,0,0,0,0,0,0,0,6,1.2,0,0,0.2,0,0,0,0,0,0,0,0,0,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Sá,416175,NA,0,0,0,0,1,0,1,0,6.73,1,0,0,0,0,0,0,0,0,0,0,0,0,15.8,59.2,0,0,1,0,0,0,0,1,0,0,0,0.03,0.1,100,0,0,0,0,0,0,0,0,0.9,30,0,0,0,0,0,0,4,58,69.8,58,4,134,8.5,58,1.7,58,0,0,1,0,0,0
Solly March,416850,Brighton and Hove Albion,558,7,3,0,1,1,4,2.9,0,0,0,0,2,3,0,0,2.7,3,0,0,0,0,0,0,2,1,7,1.1,0,0,1,1,0,0,0,0,0,0,1,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nathan Aké,417068,Manchester City,2044,29,2,0,2,1.1,4,3.6,7.27,0,0.09,2,2.5,2,0.11,0.09,2.3,2,0.2,25,0.9,10,72.3,92.8,3,2,10,0.4,0.8,33.3,1.1,2,0.05,0.1,0.16,0.18,0.2,62.5,2,10,0,0,0.7,61.5,0.6,14,2.3,52,0.1,2,0,0,0.3,2.4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
Tyrone Mings,419664,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Lemina,421786,Wolverhampton Wanderers,2974,35,4,0,1,1.3,5,5.9,7.18,4,0.12,4,4.6,4,0.14,0.12,4.7,4,0.5,37.5,1.5,8.3,37.8,86.7,3,1,20,0.6,1.8,50.4,1.3,1,0.04,0,0.18,0.15,0.8,56.8,4,8.3,0,0,1.8,64.4,1.2,41,1.7,56,0.3,9,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,1.3,10,10,1,1,10
Bruno Fernandes,422685,Manchester United,3119,35,10,4,8,10.2,18,20.2,7.83,7,0.29,10,10,10,0.29,0.29,13,10,1.2,43.2,2.7,10.5,43.8,79.4,21,8,114,3.3,4.4,57.4,10.2,8,0.3,0.2,0.58,0.52,0.5,47.5,7,10.5,0,0,1.1,55.9,0.8,27,1.4,47,0.2,6,0,0,1,2.4,0,0,0,0,0,0,0,0,0,0,1.2,9,9,0,0,0
Leander Dendoncker,424129,Aston Villa,118,8,1,0,0,0,1,0.8,0,0,0,0,0.7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calum Chambers,425255,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Divock Origi,426202,NA,0,0,0,0,1,0.8,1,2.9,0,0,0,0,2,0,0.31,0,1.9,0,0.6,28.6,2.1,0,13.4,67.9,5,1,7,1.1,0.8,62.5,0.8,1,0.12,0.2,0.43,0.15,1.4,42.9,4,0,0,0,0.6,66.7,0.3,2,0.3,2,0,0,0,0,0.3,1.1,0,0,0,0,0,0,0,0,0,0,2.1,1,1,0,0,0
Maxwel Cornet,426880,West Ham United,110,7,1,0,0,0,1,0.4,0,0,0,0,0.4,1,0,0,0.8,1,0,0,0,0,0,0,0,0,4,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,434325,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,6,0.7,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Ryan Christie,439369,NA,0,0,0,0,5,5.4,5,7.8,7.08,3,0,0,2.3,0,0.07,0,1.7,0,0.4,30.2,1.3,0,29.8,79.3,10,5,55,1.7,2.7,54,5.4,5,0.17,0.2,0.24,0.15,1.6,55.4,0,0,0,0,1.4,51.2,1.6,52,1.5,50,0.3,11,1,37,0.7,3.8,0,0,0,0,0,0,0,0,0,0,1.5,6,6,0,0,0
Miguel Almiron,442277,Newcastle United,1945,33,3,0,1,2.4,4,6.9,6.84,0,0.14,3,4.5,3,0.21,0.14,4.5,3,0.6,29.3,1.9,7.3,30.4,85.8,6,1,24,1.1,0.6,65,2.4,1,0.11,0,0.32,0.19,1.1,51.1,4,7.3,0,0,1.1,66.7,0.5,10,0.6,12,0.1,2,0,0,0.8,1.9,0,0,0,0,0,0,0,0,0,0,0.7,2,2,0,0,0
Timo Werner,450980,Tottenham Hotspur,814,13,2,0,3,2.9,5,6.6,0,0,0,0,3.7,2,0,0,2.3,2,0,0,0,0,0,0,3,3,15,1.7,0,0,2.9,3,0,0,0,0,0,0,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Enes Ünal,464486,Bournemouth,320,16,2,0,2,0.1,4,3.1,0,0,0,0,2.9,2,0,0,1.6,2,0,0,0,0,0,0,2,2,5,1.4,0,0,0.1,2,0,0,0,0,0,0,6,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Timothy Castagne,465750,Fulham,2633,34,1,0,3,1.8,4,3.5,6.86,0,0.03,1,1.6,1,0.06,0.03,0.7,1,0.2,35.7,0.5,7.1,37.5,81.3,1,3,18,0.6,1.7,43.6,1.8,3,0.06,0.1,0.12,0.14,0.6,63,1,7.1,0,0,0.8,49,1.3,38,1.9,57,0.3,10,0,0,0.3,1.3,0,0,0,0,0,0,0,0,0,0,0.8,3,3,0,0,0
Youri Tielemans,465960,Aston Villa,1620,32,2,0,6,2.2,8,3.5,6.98,1,0.11,2,1.3,2,0.07,0.11,1.1,2,0.3,42.9,0.8,14.3,43.3,86,5,6,18,1,2,66.7,2.2,6,0.12,0.3,0.19,0.44,0.8,60,1,14.3,0,0,1.1,48.8,0.8,15,0.4,8,0.2,3,0,0,0.9,2.3,0,0,0,0,0,0,0,0,0,0,1.2,3,3,0,0,0
Jefferson Lerma,466672,Crystal Palace,2403,28,1,0,1,2,2,4.6,7.15,1,0.04,1,2.7,1,0.1,0.04,1.8,1,0.3,26.5,1.3,2.9,37.8,82.4,3,1,24,0.9,1.5,44.9,2,1,0.07,0,0.17,0.07,0.4,64.7,2,2.9,0,0,0.9,59.5,1.3,36,2.4,64,0.4,12,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,1.6,8,8,0,0,0
Kieffer Moore,469202,Bournemouth,100,8,1,0,0,0,1,1.8,0,0,0,0,1.5,1,0,0,0.9,1,0,0,0,0,0,0,1,0,2,1.8,0,0,0.3,0,0,0,0,0,0,0,2,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahmoud Dahoud,469701,NA,0,0,0,0,1,0.4,1,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,2,1,10,2,0,0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Kenny Tete,469804,Fulham,868,14,1,0,0,0,1,1.3,0,0,0,0,0.9,1,0,0,0.4,1,0,0,0,0,0,0,0,0,3,0.3,0,0,0.5,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Nélson Semedo,470834,NA,0,0,0,0,1,1.8,1,3.1,6.93,0,0,0,1.3,0,0.04,0,0.8,0,0.1,23.5,0.5,0,35.7,80.9,2,1,24,0.7,1.4,33.1,1.8,1,0.05,0,0.09,0.03,1.5,63.7,2,0,0,0,1.4,60.8,1,36,2.3,78,0.2,8,2,36,0.4,1.8,0,0,0,0,0,0,0,0,0,0,1.4,11,11,1,1,11
Amari'i Bell,471271,NA,0,0,0,0,0,0,0,0,6.58,0,0,0,0.3,0,0.01,0,0.8,0,0.1,100,0.1,0,32.8,79.6,0,0,8,0.4,1.5,31.5,0.5,0,0.03,0,0.04,0,0.5,40,1,0,0,0,1.7,66,1.3,25,2.9,55,0.8,15,0,0,0.2,1.8,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0
Álex Moreno,477588,Aston Villa,1030,21,2,0,0,0,2,2.4,0,0,0.17,2,1.4,2,0.12,0.17,1.6,2,0.3,50,0.7,25,29.6,83.3,1,0,11,1,1.1,68.4,1,0,0.09,0,0.21,0.17,1.3,46.9,1,25,0,0,1,66.7,1.1,13,2.9,33,0.2,2,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
Connor Roberts,484878,NA,0,0,0,0,1,0.4,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.8,0,0,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3
Bernardo Silva,488139,Manchester City,2581,33,6,0,9,8,15,11.7,7.57,2,0.21,6,3.7,6,0.13,0.21,5.6,6,0.5,44.1,1.2,17.7,56.9,89.4,13,9,64,2.2,2.1,63.4,8,9,0.28,0.3,0.41,0.52,1.3,64.4,3,17.7,0,0,0.8,45.1,0.6,17,0.4,12,0.1,4,0,0,1,1.3,0,0,0,0,0,0,0,0,0,0,0.8,8,8,0,0,0
Clément Lenglet,488412,NA,0,0,0,0,1,0.5,1,1.4,0,0,0,0,0.9,0,0,0,0.3,0,0,0,0,0,0,0,1,1,2,0.2,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Said Benrahma,491883,NA,0,0,0,0,1,0.8,1,2.6,0,0,0,0,1.8,0,0,0,1.7,0,0,0,0,0,0,0,2,1,11,1.6,0,0,0.8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Max Lowe,492589,NA,0,0,0,0,1,0.1,1,0.7,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.4,0,0,0.1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
James Maddison,493165,Tottenham Hotspur,2152,28,4,0,9,6.3,13,12.7,7.59,2,0.17,4,6.4,4,0.27,0.17,7.5,4,1,39.7,2.4,6.9,49.2,87.4,11,9,67,2.8,1.8,62.3,6.3,9,0.26,0.4,0.53,0.54,1.3,48.5,4,6.9,0,0,0.8,57.6,0.5,13,0.3,8,0.1,3,0,0,0.8,1.2,0,0,0,0,0,0,0,0,0,0,0.9,5,5,0,0,0
Adama Traoré,493647,Fulham,364,17,2,0,3,0.9,5,2.4,0,0,0,0,1.5,2,0,0,2.3,2,0,0,0,0,0,0,2,3,7,1.7,0,0,0.9,3,0,0,0,0,0,0,2,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Harry Wilson,494417,Fulham,1614,35,4,0,6,2.7,10,6.1,6.8,2,0.22,4,3.4,4,0.19,0.22,3.3,4,0.7,32.5,2.2,10,25.7,79.2,5,6,22,1.2,1.6,61.7,2.7,6,0.15,0.3,0.34,0.56,0.8,48.4,2,10,1,2.2,0.8,66.7,0.6,10,0.6,11,0.2,3,0,0,0.5,1.9,0,0,0,0,0,0,0,0,0,0,1.2,6,6,0,0,0
Josh Brownhill,494597,Burnley,2251,33,4,0,2,2.1,6,4,6.97,0,0.16,4,1.9,4,0.08,0.16,2.6,4,0.4,39.3,1.1,14.3,33,80.3,0,0,34,1.4,1.8,45.4,2.1,2,0.08,0.1,0.16,0.24,0.3,53.8,1,14.3,0,0,1.4,57.4,1.4,34,1.6,40,0.3,8,1,33,0.5,2.8,0,0,0,0,0,0,0,0,0,0,1.5,4,4,1,1,4
Jairo Riedewald,496563,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelly-Ruddock Mpanzu,498532,NA,0,0,0,0,0,0,0,0,6.21,0,0,0,0.6,0,0.05,0,0.2,0,0.1,9.1,0.9,0,21.2,74.9,1,0,6,0.5,1.3,43.2,1.4,0,0.11,0,0.16,0,0.7,60,1,0,0,0,0.4,38.5,0.7,9,1.3,16,0.6,7,0,0,0.3,2.1,0,0,0,0,0,0,0,0,0,0,0.7,1,1,0,0,0
