ParticipantName,player_id,TeamName,MinutesPlayed,MatchesPlayed,Top_scorer,Top_scorer_subtitle,Assists,Assists_subtitle,Goals_+_Assists,Goals_+_Assists_subtitle,FotMob_rating,FotMob_rating_subtitle,Goals_per_90,Goals_per_90_subtitle,Expected_goals_(xG),Expected_goals_(xG)_subtitle,Expected_goals_(xG)_per_90,Expected_goals_(xG)_per_90_subtitle,Expected_goals_on_target_(xGOT),Expected_goals_on_target_(xGOT)_subtitle,Shots_on_target_per_90,Shots_on_target_per_90_subtitle,Shots_per_90,Shots_per_90_subtitle,Accurate_passes_per_90,Accurate_passes_per_90_subtitle,Big_chances_created,Big_chances_created_subtitle,Chances_created,Chances_created_subtitle,Accurate_long_balls_per_90,Accurate_long_balls_per_90_subtitle,Expected_assist_(xA),Expected_assist_(xA)_subtitle,Expected_assist_(xA)_per_90,Expected_assist_(xA)_per_90_subtitle,xG_+_xA_per_90,xG_+_xA_per_90_subtitle,Successful_dribbles_per_90,Successful_dribbles_per_90_subtitle,Big_chances_missed,Big_chances_missed_subtitle,Penalties_won,Penalties_won_subtitle,Successful_tackles_per_90,Successful_tackles_per_90_subtitle,Interceptions_per_90,Interceptions_per_90_subtitle,Clearances_per_90,Clearances_per_90_subtitle,Blocks_per_90,Blocks_per_90_subtitle,Penalties_conceded,Penalties_conceded_subtitle,Possession_won_final_3rd_per_90,Possession_won_final_3rd_per_90_subtitle,Clean_sheets,Clean_sheets_subtitle,Save_percentage,Save_percentage_subtitle,Saves_per_90,Saves_per_90_subtitle,Goals_prevented,Goals_prevented_subtitle,Goals_conceded_per_90,Goals_conceded_per_90_subtitle,Fouls_committed_per_90,Fouls_committed_per_90_subtitle,Yellow_cards,Yellow_cards_subtitle,Red_cards,Red_cards_subtitle
Harrison Reed,502420,NA,0,0,0,0,2,1.5,2,1.8,6.6,0,0,0,0.3,0,0.02,0,0.6,0,0.1,22.2,0.6,0,41.9,85.3,2,2,14,1,1.4,56.8,1.5,2,0.1,0.1,0.12,0.14,0.3,50,0,0,0,0,1.2,62.1,0.7,11,1.5,22,0.6,9,0,0,0.5,2.7,0,0,0,0,0,0,0,0,0,0,1.8,6,6,0,0,0
Joachim Andersen,503659,Crystal Palace,3416,38,2,0,3,2.3,5,4,7.03,2,0.05,2,1.7,2,0.04,0.05,1.1,2,0.2,38.1,0.6,9.5,45.1,79.5,5,3,20,0.5,5.3,42.4,2.3,3,0.06,0.1,0.11,0.13,0.4,70,3,9.5,0,0,0.9,62.5,1.1,41,5.3,202,0.5,18,0,0,0.1,2.1,0,0,0,0,0,0,0,0,0,0,1.1,7,7,0,0,0
Oliver McBurnie,509151,Sheffield United,1283,21,6,2,3,2,9,8.9,6.79,1,0.42,6,6.9,6,0.48,0.42,6.8,6,1.2,51.5,2.3,18.2,16.8,60.3,3,3,12,0.8,0.1,20,2,3,0.14,0.2,0.62,0.63,0.4,37.5,7,18.2,1,1.9,0.5,41.2,0.4,5,2,28,0.1,2,0,0,0.5,1.3,0,0,0,0,0,0,0,0,0,0,1.3,3,3,2,2,3
Ben Osborn,511032,NA,0,0,0,0,2,0.9,2,1.1,6.43,0,0,0,0.2,0,0.02,0,0,0,0,0,0.3,0,26,77.7,1,2,13,0.9,1.5,35.9,0.9,2,0.06,0.1,0.08,0.13,0.5,50,0,0,0,0,0.6,40.9,0.5,8,1.7,26,0.1,2,0,0,0.6,1.7,0,0,0,0,0,0,0,0,0,0,0.5,3,3,0,0,0
Fred Onyedinma,515999,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,2,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jacob Murphy,521148,Newcastle United,1193,21,3,0,7,3.4,10,5.6,0,0,0.23,3,2.2,3,0.16,0.23,2.3,3,0.8,33.3,2.3,10,23.4,73.6,10,7,31,2.3,0.5,25,3.4,7,0.26,0.5,0.42,0.75,1,50,3,10,0,0,0.8,50,0.5,6,1,13,0,0,0,0,0.9,2.4,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0
Manuel Akanji,521318,Manchester City,2513,30,2,0,0,0,2,3.7,7.31,0,0.07,2,1.9,2,0.07,0.07,1.4,2,0.2,33.3,0.5,13.3,77.1,93.8,0,0,13,0.5,2.9,68.1,1.8,0,0.06,0,0.13,0.07,0.1,50,2,13.3,0,0,1,66.7,0.8,23,2.2,61,0.4,12,0,0,0.3,2.3,0,0,0,0,0,0,0,0,0,0,0.6,2,2,1,1,2
Jarrod Bowen,523825,West Ham United,3020,34,16,0,6,4.8,22,16.7,7.25,2,0.48,16,11.9,16,0.35,0.48,16,16,1.1,44,2.5,19.1,13.9,75.1,12,6,32,1,0.4,48.1,4.8,6,0.14,0.2,0.5,0.66,1,38.2,13,19.1,0,0,0.8,66.7,0.6,19,0.4,12,0.1,5,0,0,0.8,1.4,0,0,0,0,0,0,0,0,0,0,0.8,2,2,0,0,0
Joao Palhinha,524434,Fulham,2709,33,4,0,1,1,5,4.3,7.15,1,0.13,4,3.3,4,0.11,0.13,3.7,4,0.5,31.1,1.5,8.9,36.4,83,1,1,13,0.4,2.7,55.6,1,1,0.03,0,0.14,0.17,0.4,55,4,8.9,0,0,2.5,49.3,1.5,46,1.8,54,0.3,9,1,33,0.4,3.2,0,0,0,0,0,0,0,0,0,0,1.7,13,13,0,0,0
Tomas Soucek,524437,West Ham United,2874,37,7,0,2,1.2,9,8.1,6.95,0,0.22,7,6.9,7,0.22,0.22,6.9,7,0.5,34.9,1.3,16.3,22.5,75.7,4,2,20,0.6,1,44.9,1.2,2,0.04,0.1,0.25,0.28,0.1,36.4,11,16.3,0,0,1.1,66,1.2,37,3.4,107,0.9,28,1,37,0.2,2.3,0,0,0,0,0,0,0,0,0,0,1.3,7,7,0,0,0
Saman Ghoddos,532220,Brentford,729,19,1,0,0,0,1,1.4,0,0,0.12,1,0.3,1,0.04,0.12,0.4,1,0.2,22.2,1.1,11.1,34.7,76.4,1,0,9,1.1,1.7,28,1,0,0.13,0,0.17,0.12,0.4,27.3,0,0,0,0,2.3,67.9,0.6,5,1.1,9,0.2,2,0,0,0.6,1.9,0,0,0,0,0,0,0,0,0,0,1.6,5,5,0,0,0
Philip Billing,532743,Bournemouth,1393,29,2,0,2,2.1,4,4.6,6.65,0,0.13,2,2.5,2,0.16,0.13,2.1,2,0.5,26.7,1.9,6.7,25.4,78.4,7,2,23,1.5,1.1,58.6,2.1,2,0.14,0.1,0.3,0.26,0.8,40,1,6.7,0,0,1,48.5,1.3,20,1.7,27,0.3,5,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,1.2,3,3,1,1,3
Martin Ødegaard,534670,Arsenal,3098,35,8,2,10,11.2,18,18.6,7.64,4,0.23,8,7.4,8,0.22,0.23,7,8,0.7,29.9,2.2,10.4,47.9,86.8,17,10,102,3,1.3,60.8,11.2,10,0.32,0.3,0.54,0.52,1.1,49.3,4,10.4,1,1,0.5,34.7,0.4,15,0.1,5,0,1,0,0,1.2,2.3,0,0,0,0,0,0,0,0,0,0,0.9,2,2,0,0,0
Joelinton,535936,Newcastle United,1282,20,2,0,1,1.1,3,4.2,6.99,0,0.14,2,3.1,2,0.22,0.14,1.9,2,0.6,47.4,1.3,10.5,36.3,83.9,5,1,23,1.6,0.8,61.1,1.1,1,0.08,0.1,0.3,0.21,1.2,60.7,3,10.5,0,0,1.9,69.2,1.3,19,0.7,10,0.5,7,0,0,0.9,2.5,0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,0
Manuel Benson,536457,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0.8,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Targett,538112,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Guglielmo Vicario,538501,NA,0,0,0,0,0,0,0,0,6.94,2,0,0,0,0,0,0,0,0,0,0,0,0,30.2,83.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,46,0,0,0,0,0,0,7,61,64.3,61,2.9,110,-0.3,61,1.6,61,0,0,2,0,0,0
Ivo Grbic,539546,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ollie Watkins,540088,Aston Villa,3221,37,19,0,13,4.2,32,21,7.4,7,0.53,19,16.9,19,0.47,0.53,18.9,19,1.3,43.9,3,17.8,12.7,76.8,11,13,45,1.3,0.1,27.3,4.2,13,0.12,0.4,0.59,0.89,0.7,45.6,22,17.8,2,1.1,0.2,58.3,0.1,4,0.5,19,0.1,4,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.6,4,4,0,0,0
Sander Berge,540963,Burnley,3005,37,1,0,2,1.6,3,3.6,6.88,1,0.03,1,1.9,1,0.06,0.03,0.4,1,0.1,12,0.7,4,41.2,88.8,5,2,29,0.9,2.5,71.6,1.6,2,0.05,0.1,0.11,0.09,0.6,55.6,2,4,0,0,1.4,60.5,0.7,23,1.7,58,0.6,20,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,1.2,8,8,1,1,8
Marvelous Nakamba,541330,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.6,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Scott McKenna,551805,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristoffer Vassbakk Ajer,552718,Brentford,1833,28,2,0,1,2.7,3,4,6.69,0,0.1,2,1.3,2,0.06,0.1,1.4,2,0.2,33.3,0.6,16.7,26.9,75.9,5,1,12,0.6,1.5,36,2.7,1,0.13,0,0.2,0.15,0.5,83.3,0,0,0,0,1,55.3,1.2,25,3.8,78,0.5,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2,5,5,0,0,0
Sasa Lukic,556972,Fulham,1119,24,1,0,0,0,1,2.1,6.62,0,0.08,1,1.6,1,0.13,0.08,1.4,1,0.2,23.1,1,7.7,34.4,87.5,0,0,11,0.9,0.9,52.4,0.5,0,0.04,0,0.17,0.08,0.4,62.5,2,7.7,0,0,1.5,57.6,1.3,16,1.4,18,0.4,5,0,0,0.1,3,0,0,0,0,0,0,0,0,0,0,2.2,3,3,0,0,0
Lewis Cook,562724,NA,0,0,0,0,3,3,3,3.4,7.1,2,0,0,0.4,0,0.01,0,0.4,0,0.1,33.3,0.4,0,35.2,81.2,3,3,46,1.5,1.6,38.3,3,3,0.1,0.1,0.11,0.1,0.7,60,0,0,0,0,1.3,67.2,2.1,65,1.4,43,0.4,11,0,0,0.7,3.4,0,0,0,0,0,0,0,0,0,0,1.3,5,5,1,1,5
Carlton Morris,562725,Luton Town,2867,38,11,5,4,1.6,15,13,6.77,0,0.35,11,11.4,11,0.36,0.35,13.8,11,1,43.7,2.2,15.5,15.1,66.8,5,4,22,0.7,0.3,47.1,1.6,4,0.05,0.1,0.41,0.47,1,60.8,7,15.5,0,0,0.3,53.3,0,1,1.7,53,0.2,5,0,0,0.5,1.2,0,0,0,0,0,0,0,0,0,0,1.5,4,4,0,0,0
David Raya,562727,NA,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,20,70.8,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.4,13,0,0,0,0,0,0,16,24,65.7,24,1.4,46,-3.1,24,0.8,24,0,0,2,0,0,0
Rico Henry,562892,NA,0,0,0,0,1,0.8,1,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1.1,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Joseph Gomez,568571,NA,0,0,0,0,1,1.1,1,1.9,6.98,0,0,0,0.8,0,0.04,0,0.3,0,0.1,10.5,1,0,50.1,86.2,2,1,22,1.1,2.4,58.5,1.1,1,0.06,0.1,0.09,0.05,0.8,55.6,0,0,0,0,1.6,66,1,19,2.3,45,0.2,4,0,0,0.4,2.7,0,0,0,0,0,0,0,0,0,0,1.4,5,5,0,0,0
Diego Carlos,570434,NA,0,0,0,0,0,0,0,0,6.45,0,0,0,2.3,0,0.12,0,0.7,0,0,10,0.5,0,58.8,88.4,0,0,3,0.1,3.3,41.8,0.4,0,0.02,0,0.13,0,0.1,50,2,0,0,0,0.8,59.3,0.6,13,3.9,78,0.9,19,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.3,4,4,0,0,0
Diogo Jota,570461,Liverpool,1150,21,10,0,3,1.7,13,7.1,7.25,2,0.78,10,5.3,10,0.42,0.78,7.4,10,1.6,48.8,3.2,24.4,22.4,74.5,4,3,22,1.7,0.7,69.2,1.7,3,0.14,0.2,0.55,1.02,1.2,41.7,3,24.4,2,1.6,1,56.5,0.5,7,0.3,4,0.1,1,0,0,0.5,2.1,0,0,0,0,0,0,0,0,0,0,2.1,1,1,1,1,1
Reece Burke,570760,NA,0,0,0,0,4,0.9,4,2.2,6.7,0,0,0,1.3,0,0.07,0,1.2,0,0.2,30.8,0.7,0,28.7,77.5,3,4,13,0.7,1.9,33.3,0.9,4,0.05,0.2,0.12,0.22,0.2,66.7,3,0,0,0,1.2,62.2,1,18,4,73,1,18,1,22,0.1,1.3,0,0,0,0,0,0,0,0,0,0,1.1,5,5,0,0,0
Andreas Pereira,575779,Fulham,2637,37,3,0,7,5.7,10,10.3,6.89,2,0.1,3,4.6,3,0.16,0.1,4.4,3,0.5,30.8,1.8,5.8,28.6,78.8,9,7,84,2.9,1.7,46.7,5.7,7,0.19,0.2,0.35,0.34,0.6,46.3,3,5.8,0,0,0.4,48,0.1,4,0.4,11,0.1,2,0,0,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0.8,6,6,0,0,0
Harry Toffolo,575804,Nottingham Forest,1455,23,1,0,3,1.2,4,2.8,6.63,1,0.06,1,1.6,1,0.1,0.06,1.1,1,0.3,62.5,0.5,12.5,21,76.2,3,3,18,1.1,1.1,25.8,1.2,3,0.07,0.2,0.17,0.25,0.1,33.3,2,12.5,0,0,0.9,53.8,0.9,14,2.7,44,0.8,13,0,0,0.1,1.2,0,0,0,0,0,0,0,0,0,0,1.1,3,3,0,0,0
Gabriel Jesus,576165,Arsenal,1482,27,4,0,5,3.2,9,9.6,7,3,0.24,4,6.4,4,0.39,0.24,5.1,4,1.2,34.5,3.3,7.3,24.1,81,6,5,29,1.8,0.4,87.5,3.2,5,0.2,0.3,0.58,0.55,2.1,53.8,7,7.3,1,1.9,1,70.8,0.8,13,0.7,11,0.1,1,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1.6,6,6,0,0,0
Dominic Solanke,591734,Bournemouth,3331,38,19,2,3,2,22,21.7,7.05,3,0.51,19,19.6,19,0.53,0.51,16.1,19,1,34.9,2.9,17.4,10.6,73.7,3,3,39,1.1,0.2,66.7,2,3,0.05,0.1,0.59,0.59,1.1,39.4,14,17.4,1,1.2,0.3,47.8,0.2,7,1.2,43,0.1,5,0,0,0.8,1.2,0,0,0,0,0,0,0,0,0,0,1.1,3,3,0,0,0
Moussa Niakhaté,592102,Nottingham Forest,1457,21,1,0,0,0,1,1.3,6.57,0,0.06,1,1.1,1,0.07,0.06,1,1,0.1,20,0.3,20,36.3,85.5,0,0,3,0.2,1.9,38.3,0.3,0,0.02,0,0.08,0.06,0.2,100,0,0,0,0,1.5,59.5,0.9,14,3,49,0.7,12,0,0,0.1,1.7,0,0,0,0,0,0,0,0,0,0,0.7,3,3,1,1,3
Sofyan Amrabat,593116,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0,0,0,0,0,0.3,0,54.9,88.1,0,0,6,0.6,3.4,79.5,0.4,0,0.04,0,0.04,0,0.6,75,0,0,0,0,1.5,59.3,0.8,8,1.8,19,0.7,7,0,0,0.5,2.6,0,0,0,0,0,0,0,0,0,0,2.3,6,6,0,0,0
Mason Holgate,603329,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.1,0,0,0.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3
Thilo Kehrer,604088,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Giovani Lo Celso,604126,Tottenham Hotspur,495,22,2,0,2,1.9,4,2.5,0,0,0.36,2,0.6,2,0.1,0.36,1.4,2,1.1,46.2,2.4,15.4,80.4,91.5,1,2,18,3.3,3.3,75,1.9,2,0.35,0.4,0.45,0.73,1.5,72.7,0,0,0,0,2.4,59.1,0.9,5,0.4,2,0.2,1,1,22,1.1,4.2,0,0,0,0,0,0,0,0,0,0,2.2,2,2,0,0,0
Alex Iwobi,604785,Fulham,2342,32,5,0,2,4.3,7,10,7.06,2,0.19,5,5.7,5,0.22,0.19,6.1,5,0.8,36.4,2.1,9.1,31.7,81.6,5,2,53,2,1.5,48.8,4.3,2,0.17,0.1,0.38,0.27,1.5,54.8,2,9.1,0,0,0.7,58.1,0.6,15,0.2,6,0,0,0,0,0.8,2.4,0,0,0,0,0,0,0,0,0,0,0.5,2,2,0,0,0
Marek Rodak,605643,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kalvin Phillips,609755,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Andre Onana,611491,NA,0,0,0,0,0,0,0,0,6.86,2,0,0,0,0,0,0,0,0,0,0,0,0,25.4,70.4,0,0,3,0.1,0,0,0.1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.6,24,0,0,1,38,0,0,9,58,72,58,3.9,149,2.8,58,1.5,58,0,5,5,0,0,0
Dominic Calvert-Lewin,612150,Everton,2185,32,7,2,2,1.6,9,14.5,6.8,2,0.29,7,12.9,7,0.53,0.29,9.9,7,1.3,42.5,3,9.6,10.2,56.9,4,2,19,0.8,0.2,50,1.6,2,0.07,0.1,0.6,0.37,0.6,35,16,9.6,0,0,0.2,46.2,0.2,4,1.6,38,0.2,4,0,0,0.7,0.9,0,0,0,0,0,0,0,0,0,0,1.3,2,2,0,0,0
Donny van de Beek,612836,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Rothwell,613182,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Dias,614006,NA,0,0,0,0,0,0,0,0,7.14,0,0,0,1.4,0,0.05,0,0.8,0,0.3,40,0.7,0,86.4,94.1,1,0,7,0.2,3,60.4,1.9,0,0.07,0,0.12,0,0,0,3,0,0,0,0.7,51.3,1.1,30,2.6,75,0.6,17,1,30,0.2,1.6,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0
Nayef Aguerd,617310,West Ham United,1859,21,1,0,0,0,1,2,6.56,0,0.05,1,1.6,1,0.08,0.05,1.3,1,0.2,28.6,0.7,7.1,45.4,80.5,0,0,4,0.2,5,39.5,0.4,0,0.02,0,0.1,0.05,0.1,60,2,7.1,0,0,0.7,53.8,0.8,17,3.9,80,1.2,24,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,1
Hee-Chan Hwang,620026,Wolverhampton Wanderers,2124,29,12,1,3,2.9,15,10.6,7.02,4,0.51,12,7.7,12,0.33,0.51,7.2,12,0.8,40,1.9,26.7,17.5,77.7,4,3,17,0.7,0.4,58.8,2.9,3,0.12,0.1,0.45,0.64,1.5,54.5,8,26.7,1,1.4,0.4,50,0.4,10,0.3,8,0,1,1,29,0.7,1,0,0,0,0,0,0,0,0,0,0,1.3,6,6,0,0,0
Rodrigo Bentancur,620618,Tottenham Hotspur,1007,23,1,0,1,1.1,2,3,6.62,0,0.09,1,1.9,1,0.17,0.09,0.7,1,0.4,27.8,1.6,5.6,60.1,85.5,0,0,8,0.7,1.8,76.9,1.1,1,0.09,0.1,0.26,0.18,1,57.9,1,5.6,0,0,1.3,65.2,1.5,17,1.4,16,0.4,4,0,0,0.4,3.2,0,0,0,0,0,0,0,0,0,0,1.8,7,7,0,0,0
Oleksandr Zinchenko,623621,Arsenal,1722,27,1,0,2,2.9,3,3.5,7.22,1,0.05,1,0.6,1,0.03,0.05,0.5,1,0.2,17.6,0.9,5.9,65.9,89.4,5,2,29,1.5,2.8,63.1,2.9,2,0.15,0.1,0.18,0.16,0.4,58.3,0,0,0,0,1.6,60,1,20,1.1,22,0.2,3,0,0,0.3,2.3,0,0,0,0,0,0,0,0,0,0,0.4,2,2,0,0,0
Josh Cullen,623716,Burnley,2059,25,2,0,3,2.3,5,2.9,7.13,0,0.09,2,0.6,2,0.03,0.09,0.9,2,0.2,31.3,0.7,12.5,50.8,86.7,3,3,26,1.1,1.5,43.8,2.3,3,0.1,0.1,0.13,0.22,0.1,37.5,0,0,0,0,1.3,69,0.7,15,1,24,0.8,19,0,0,0.6,3.7,0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,0
Mads Juel Andersen,630953,Luton Town,399,8,1,0,0,0,1,0.3,0,0,0,0,0.3,1,0,0,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Odsonne Edouard,637746,Crystal Palace,1552,30,7,0,0,0,7,7.3,6.75,2,0.41,7,6.2,7,0.36,0.41,6.8,7,1.1,37.3,3,13.7,14.3,73.3,1,0,18,1,0.2,42.9,1.1,0,0.06,0,0.42,0.41,1.1,44.2,6,13.7,0,0,0.7,50,0.3,6,1,18,0.1,1,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,1.8,4,4,0,0,0
Davinson Sánchez,643533,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Taiwo Awoniyi,643717,Nottingham Forest,1046,20,6,0,3,0.9,9,5.6,0,0,0.52,6,4.7,6,0.41,0.52,5.4,6,0.9,50,1.9,27.3,10.9,73.8,2,3,10,0.9,0.2,66.7,0.9,3,0.08,0.3,0.48,0.77,0.7,53.3,4,27.3,0,0,0.6,77.8,0.1,1,0.8,9,0.2,2,0,0,0.5,1.6,0,0,0,0,0,0,0,0,0,0,0.8,2,2,0,0,0
Mathias Jensen,650616,Brentford,2217,32,3,0,3,4.8,6,5.5,6.95,1,0.12,3,0.7,3,0.03,0.12,1.1,3,0.3,50,0.6,21.4,31,78.6,9,3,41,1.7,3.3,56.9,4.8,3,0.19,0.1,0.22,0.24,0.7,43.9,0,0,1,0.8,1.3,59.3,0.9,23,1,24,0.2,6,0,0,0.6,2.5,0,0,0,0,0,0,0,0,0,0,1.1,5,5,0,0,0
Declan Rice,654096,Arsenal,3230,38,7,0,8,4.8,15,8.1,7.66,3,0.2,7,3.3,7,0.09,0.2,4.5,7,0.6,34.5,1.6,12.1,56.3,90.7,9,8,47,1.3,2.2,55.3,4.8,8,0.13,0.2,0.23,0.42,0.6,51.2,2,12.1,0,0,1.4,61.4,1.2,44,1.4,51,0.3,11,2,38,0.8,2.3,0,0,0,0,0,0,0,0,0,0,0.9,5,5,0,0,0
Richarlison,654908,Tottenham Hotspur,1492,28,11,0,4,1.4,15,11,6.99,1,0.66,11,9.6,11,0.58,0.66,8.5,11,1.5,40.3,3.7,17.7,16,70.9,3,4,15,0.9,0.4,70,1.4,4,0.09,0.2,0.67,0.9,0.6,30.3,7,17.7,0,0,0.7,68.8,0.5,8,1.4,23,0.4,6,0,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,1.2,3,3,0,0,0
Jacob Bruun Larsen,655575,Burnley,1248,32,6,1,0,0,6,6.8,6.68,0,0.43,6,5,6,0.36,0.43,4.7,6,1.2,36.4,3.2,13.6,25.3,76.8,1,0,25,1.8,1,66.7,1.8,0,0.13,0,0.49,0.43,1.4,39.2,4,13.6,0,0,0.3,44.4,0.5,7,1.5,21,0.1,2,0,0,0.6,2.2,0,0,0,0,0,0,0,0,0,0,0.9,1,1,0,0,0
Antonee Robinson,662428,NA,0,0,0,0,6,3.7,6,4.4,7.17,0,0,0,0.7,0,0.02,0,1.5,0,0.2,43.8,0.4,0,34,75.9,6,6,33,0.9,2.8,47,3.7,6,0.1,0.2,0.12,0.17,1,51.4,2,0,0,0,1.6,62.4,2.2,80,3,109,0.2,8,0,0,0.3,2,0,0,0,0,0,0,0,0,0,0,0.9,6,6,0,0,0
Ben Godfrey,662936,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0.8,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Takehiro Tomiyasu,664444,Arsenal,1143,22,2,0,1,0.8,3,2.4,6.83,0,0.16,2,1.6,2,0.12,0.16,1,2,0.2,17.6,1.3,11.8,40.9,85.5,0,0,6,0.5,1.3,42.1,0.8,1,0.07,0.1,0.19,0.24,0.3,36.4,3,11.8,0,0,0.7,45,1.4,18,2.4,30,0.3,4,0,0,0.6,1.4,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,1,0
